No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,ATTEN,100 MHZ DIGITAL OSCILLOSCOPE,ADS 1102CML+,1,SET,08/20/2015,T1G/015000539,"P55,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
1.1,ATTEN,100 MHZ DIGITAL OSCILLOSCOPE,ADS 1102CML+,1,SET,08/20/2015,T1G/015000634,"P55,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
1.1,ATTEN,100 MHZ DIGITAL OSCILLOSCOPE,ADS 1102CML+,1,SET,08/20/2015,T1G/015000604,"P55,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
1.1,ATTEN,100 MHZ DIGITAL OSCILLOSCOPE,ADS 1102CML+,1,SET,08/20/2015,T1G/015000614,"P55,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
1.1,ATTEN,100 MHZ DIGITAL OSCILLOSCOPE,ADS 1102CML+,1,SET,08/20/2015,T1G/015000608,"P55,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
1.1,ATTEN,100 MHZ DIGITAL OSCILLOSCOPE,ADS 1102CML+,1,SET,08/20/2015,T1G/015000536,"P55,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
1.1,ATTEN,100 MHZ DIGITAL OSCILLOSCOPE,ADS 1102CML+,1,SET,08/20/2015,T1G/015000634,"P55,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
1.1,ATTEN,100 MHZ DIGITAL OSCILLOSCOPE,ADS 1102CML+,1,SET,08/20/2015,T1G/015000534,"P55,500",,/,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
,ATTEN,"FUNCTION GENERATOR, 5MHZ",ATF05C,1,SET,08/20/2015,AXH1504000170,"P12,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
,ATTEN,"FUNCTION GENERATOR, 5MHZ",ATF05C,1,SET,08/20/2015,AXH1504000171,"P12,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
,ATTEN,"FUNCTION GENERATOR, 5MHZ",ATF05C,1,SET,08/20/2015,AXH1504000172,"P12,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
